Cement (kg in a m^3 mixture),Blast Furnace Slag (kg in a m^3 mixture),Fly Ash (kg in a m^3 mixture),Water  (kg in a m^3 mixture),Superplasticizer (kg in a m^3 mixture),Coarse Aggregate  (kg in a m^3 mixture),Fine Aggregate (kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
264.79765229283953,13.322748497577344,12.454621176377124,178.53305199857573,8.800602643230295,923.8766844420757,837.3985663287406,23,8.367753929724348
518.3142948203631,214.65715625353909,102.50052975406633,244.48553196089625,15.764109220676795,880.7179793009827,684.0471103760858,48,49.941806263745725
422.07733439701826,82.8031814235731,161.2807234465679,171.87459129351652,20.9349835651551,1163.530599086745,646.5326908533045,109,42.653263543546444
363.4097330466961,43.404078879820375,91.84797551939161,229.17420886637547,27.007923336062113,1104.160026914993,988.0467545673729,296,34.15947432414659
168.64820179467205,27.703152586515294,10.391315510853683,144.51027874740265,23.765735844050283,1070.5593475640023,608.7927259238492,6,14.166946083440573
168.63758894792915,250.6639593161303,157.2556398768066,207.41986474325375,20.290832036181722,920.3865278526487,921.0789621344086,38,16.78070160425211
125.55678935400776,122.35498695650381,40.27275642719488,247.01090407706266,20.388995471854308,873.6179088200854,915.2140598300089,169,1.4757174490496627
481.1175041409715,260.9160377503541,51.72416697760775,133.24610311348178,28.377739320962597,1102.5804351955649,718.8856455380384,356,56.575937753561334
364.4906051670119,23.528282687619253,32.94127068645918,121.08159248953496,8.874722924896082,989.6631783516318,654.2506464029253,283,36.024799877579326
411.55193423026003,113.50452161901973,66.04301297429951,176.36576304223985,0.03336282588562223,890.3158208602516,658.2514586821694,203,42.725907538521966
109.05717749015308,194.2168652551214,151.350301137727,132.04131279667774,8.15863678194596,1046.64879126611,878.972646894877,325,20.743104850542476
526.7603349512775,284.6603393420269,103.87717190078747,217.28996545791006,6.536741388802319,816.1335408553808,857.1226364344695,313,50.95897499989003
466.27476195218554,114.75090105554517,40.97625483014251,238.89132630031264,19.855037553419944,930.4681016513014,913.0982697005547,273,37.42594106028
193.42920869844153,225.32089551732327,175.56601563040817,176.42272645213865,19.01134799296587,987.4227978364538,974.9924689596419,244,31.067870589334593
180.00298557112427,318.9519893650274,175.91637099030584,153.6325134802073,17.803841481141713,859.1833336437624,876.7709453066368,327,31.664121610727786
180.69798433551088,221.71074774562965,174.11568500920137,176.47243147085928,0.487303296283611,1193.861791036336,662.3406146205774,47,20.451652529210797
233.8665869021966,83.86541091130816,47.75924227630786,214.04821632050013,21.863341633519425,883.6389458358457,697.3770467061643,249,24.11590846043899
330.89282991818465,8.784281360353688,90.24786883619763,121.17704100544823,9.705912374564745,852.1412520173062,936.8774923492458,79,22.89279212397023
290.0558082025309,313.2355946043348,196.99793122817502,196.62901863301062,19.95167967019893,881.4139495547586,683.7224303336834,110,42.963313339699305
228.14082168713844,7.65698790613937,154.40249526199807,199.72791903535926,16.6973528550646,1107.6244532638898,629.0089267817925,13,18.298404479447967
369.215273677847,314.8926021663118,5.433484245111964,202.8994720964716,10.281927762837215,970.2022637087371,881.3120216169002,90,25.69104653299215
161.3772986868984,190.4173682497963,13.040918252098411,151.46287039751405,4.0372880131232325,1026.1663759010153,761.0105421960568,342,18.011920471301472
228.54364535549598,338.06437146464265,92.78627536246655,212.82685403915647,2.8325669298144285,808.4036627945443,968.0160210183615,348,21.069851247892455
261.19921104922435,287.5619648785195,181.84404117231202,131.88089322313093,24.945549993366708,813.7725234293258,860.1020284374647,280,38.370850060994215
300.6707930554958,359.25627979200146,107.74035959054285,145.9051437406841,27.55192626244674,978.3302199308065,636.1675911166643,221,39.044505342443784
445.477423012926,126.25625356261565,99.56250160685805,234.07110606508263,19.493641402928986,1126.6620972806495,979.1426269014643,73,39.555401664784156
187.8564641496783,276.1877840152057,21.094739991326115,216.0340095944536,3.103023445814501,1154.0955514830262,703.4229054560983,234,16.492380812404374
326.2631529019891,144.6951288993272,131.3560209448588,121.78692202147488,12.060816506647221,834.6826270382561,734.8849961625143,260,38.084948575741414
360.6624102992987,172.75522330940717,164.4206321200451,152.28891384807403,21.868176003154716,1015.3452408404091,760.9041654734168,113,40.37243067517547
120.438181596799,225.90196675861324,76.08400150151246,147.8728427891114,23.394626520302044,1165.291874511708,620.4897185617253,46,18.10544801684853
367.3197348366329,314.52376110708195,155.1223701850655,155.20482264480643,3.546558668732658,955.1891017591545,798.606168892242,274,50.395232980261454
175.0306144224083,354.27004891174624,192.8953307801623,152.18277013638522,0.0009215653614724761,1131.8263325713474,649.3273964301169,43,37.55250893759364
128.62270091352298,276.57842899122653,40.753291825537815,128.12841844656995,21.36411137641815,853.4782617597745,760.3881306753407,208,23.025251916305688
517.5096363914666,150.39604158024017,104.66592623894826,179.66226715758665,10.697885279586169,1174.1577958671196,740.2839151968337,349,51.649163116226504
524.8780945528061,151.68852081974526,57.42759161691511,215.25535172220145,7.634439948547808,1100.5693270125212,909.1360333706014,103,37.439907785105916
455.6948331712429,265.52962857200095,158.57088380676788,198.87512421326673,0.3869240936857632,1176.5337571147606,921.2682046530924,124,39.31121743937153
234.0300584362831,85.95977247658884,115.5186731762315,207.47331691775037,16.20898220284499,1070.6468934210025,661.3651529556352,10,22.242736395313763
142.9757301628089,39.77068072730208,126.91648351006076,130.5493932097111,25.534522062779452,945.3615727997708,746.6204749516905,329,23.9499902237278
401.062531665349,127.66397675067955,159.58283192317882,243.69379232298235,28.728949388177636,1175.272469009889,749.3412644127327,187,31.259152512762796
293.66709724542454,103.40603699546942,79.19409453249098,229.0039383995932,16.972348518398675,910.2267105236714,660.564177574434,31,14.331367314740316
153.6968233317027,106.67092336415644,183.01801368140863,224.66174140443616,15.433839832196824,932.8690088246931,919.3814020204762,156,12.239736101139655
317.87784044895886,84.09879037796757,106.605773449228,226.98789465542978,2.551691564677233,1080.323367200696,882.8913313341693,60,21.391236631037934
115.1309492906961,15.153548269090278,31.5909645670696,241.252366057259,16.46618404627799,1106.1265198101546,676.1527145188139,249,3.282714870380015
500.1009769146641,6.434616504028972,139.1798236337605,190.75301559478072,11.399372368961838,1171.7613935396616,746.6887634375196,270,42.245718321165505
213.86319190400744,355.58006030497137,158.6522700876509,146.03666232279136,18.214058426507307,881.9209636224838,642.3220099426057,217,39.536711155523165
